MSIC_5D,DESCRIPTION
C15209,Manufacture of other electronic and electric wires and cables
C16100,Manufacture of current-carrying and non current-carrying wiring devices for electrical circuits regardless of material
C16211,Manufacture of electric lighting equipment
C16212,Manufacture of domestic appliances
C10619,"Manufacture of miscellaneous electrical equipment other than motors, generators and transformers, batteries and accumulators, wires and wiring devices, lighting equipment or domestic appliances"
C10621,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
C10622,Manufacture of fluid power equipment
C10711,"Manufacture of other pumps, compressors, taps and valves"
C10712,"Manufacture of bearings, gears, gearing and driving elements"
C10713,"Manufacture of ovens, furnaces and furnace burners"
C10714,Manufacture of lifting and handling equipment
C10721,Manufacture of office machinery and equipment (except computers and peripheral equipment)
C10731,Manufacture of power-driven hand tools with self-contained electric or non-electric motor or pneumatic drives
C10732,Manufacture of refrigerating or freezing industrial equipment
C10733,"Manufacture of air-conditioning machines, including for motor vehicles"
C10741,Manufacture of other general-purpose machinery n.e.c.
C10405,Manufacture of agricultural and forestry machinery
C10502,Manufacture of metal-forming machinery and machine tools
C10623,Manufacture of machinery for metallurgy
C20291,"Manufacture of machinery for mining, quarrying and construction"
C21002,"Manufacture of machinery for food, beverage and tobacco processing"
C21005,"Manufacture of machinery for textile, apparel and leather production"
C23109,Manufacture of other special-purpose machinery n.e.c.
C23930,Manufacture of passenger cars
C25130,Manufacture of commercial vehicles
C25992,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers
C10722,Manufacture of parts and accessories for motor vehicles
C17092,Building of ships and floating structures
C20222,Building of pleasure and sporting boats
C10102,Manufacture of railway locomotives and rolling stock
C10103,Manufacture of air and spacecraft and related machinery
C10104,Manufacture of military fighting vehicles
C10109,Manufacture of motorcycles
C10201,Manufacture of bicycles and invalid carriages
C10202,Manufacture of other transport equipments n.e.c..
C10203,Manufacture of wooden and cane furniture
C10204,Manufacture of metal furniture
C10205,Manufacture of mattress
C10301,"Manufacture of other furniture, except of stone, concrete or ceramic"
C10101,Manufacture of jewellery and related articles 
C10302,Manufacture of imitation jewellery and related articles
C10303,Manufacture of musical instruments
C10304,Manufacture of sports goods
C10305,Manufacture of games and toys 
C10306,Manufacture of medical and dental instrument and supplies 
C10401,Manufacture of stationery
C10402,Other manufacturing n.e.c.
C10403,Repair of fabricated metal products
C10404,Repair and maintenance of industrial machinery and equipment
C10406,"Repair and maintenance of the measuring, testing, navigating and control equipment"
C10407,"Repair and maintenance of irradiation, electro medical and electrotherapeutic equipment"
C10501,Repair of optical instruments and photographic equipment
C10509,Repair and maintenance of electrical equipment except domestic appliances
C10611,Repair and maintenance of transport equipment except motorcycles and bicycles
C10612,Repair and maintenance of other equipment n.e.c.
C10613,Installation of industrial machinery and equipment
D35101,Operation of generation facilities that produce electric energy
D35102,"Operation of transmission, distribution and sales of electricity    "
D35201,"Manufacture of gaseous fuels with a specified calorific value, by purification, blending and other processes from gases of various types including natural gas"
D35203,"Transportation, distribution and supply of gaseous fuels of all kinds through a system of mains"
D35301,Sale of gas to the user through mains
D35303,"Production, collection and distribution of steam and hot water for heating, power and other purposes"
D35202,"Production and distribution of cooled air, chilled water for cooling purposes"
D35302,"Production of ice, including ice for food and non-food (e.g. cooling) purposes"
E38303,Purification and distribution of water for water supply purposes
E38304,Desalting of sea or ground water to produce water as the principal product of interest
E38309,Sewerage and similar activities
E39000,Collection of non-hazardous solid waste (i.e. garbage) within a local area
E36001,Collection of recyclable materials
E37000,Collection of refuse in litter-bins in public places
E38111,Collection of construction and demolition waste
E38112,Operation of waste transfer stations for non-hazardous waste
E38114,Collection of hazardous waste
E38115,Operation of waste transfer stations for hazardous waste
E38121,Treatment and disposal of non-hazardous waste
E38210,Treatment and disposal of hazardous
E38220,Mechanical crushing of metal waste
E38301,"Dismantling of automobiles, computers, televisions and other equipment for material recover"
E36002,Reclaiming of rubber such as used tires to produce secondary raw material
E38113,Reuse of rubber products
E38122,Materials recovery n.e.c.
E38302,Remediation activities and other waste management services
F42104,Residential buildings
F42105,Non-residential buildings
F42106,Assembly and erection of prefabricated constructions on the site
F42202,Construction of buildings n.e.c.
F42203,"Construction of motorways, streets, roads, other vehicular and pedestrian ways"
F42204,"Surface work on streets, roads, highways, bridges or tunnels"
F42205,"Construction of bridges, including those for elevated highways"
F42206,Construction of tunnels
F42207,Construction of railways and subways
F42209,Construction of airfield/airports runways
F42901,Construction of roads and railways n.e.c.
F42902,"Long-distance pipelines, communication and power lines"
F42903,"Urban pipelines, urban communication and power lines; ancillary urban works"
F42904,Water main and line construction
F42905,Reservoirs
F42909,Construction of irrigation systems (canals)
F43110,Construction of sewer systems (including repair) and sewage disposal plants
F43121,Construction of power plants
F43122,Construction of utility projects n.e.c.
F43125,Construction of refineries
F43126,"Construction of waterways, harbour and river works, pleasure ports (marinas), locks"
F43129,Construction of dams and dykes
F43211,Dredging of waterways
F43212,Outdoor sports facilities
F42109,Land subdivision with land improvement
F42201,Construction of other engineering projects n.e.c.
F43214,Demolition or wrecking of buildings and other structures
F43215,Clearing of building sites
F43216,Earth moving
F43219,"Drilling, boring and core sampling for construction, geophysical, geological or similar purposes"
F43222,Site preparation for mining
F43223,Drainage of agricultural or forestry land
F43224,Land reclamation work
F43226,Other site preparation activities n.e.c.
F43227,Electrical wiring and fittings 
F43228,Telecommunications wiring
F43229,Computer network and cable television wiring
F43292,Satellite dishes
F43293,Lighting systems
F43295,Security systems
F43299,Electrical installation n.e.c.
F43303,"Installation of heating systems (electric, gas and oil)"
F43304,"Installation of furnaces, cooling towers"
F43305,Installation of non-electric solar energy collectors
F43306,Installation of plumbing and sanitary equipment
F43309,"Installation of ventilation, refrigeration or air-conditioning equipment and ducts"
F43901,Installation of gas fittings
F43902,Installation of fire and lawn sprinkler systems
F43903,Steam piping
F43904,"Plumbing, heat and air-conditioning installation n.e.c."
F43905,"Installation of elevators, escalators in buildings or other construction projects"
F43906,Installation of automated and revolving doors in buildings or other construction projects
F43907,Installation of lighting conductors in buildings or other construction projects
F43909,Installation vacuum cleaning systems in buildings or other construction projects
F41003,"Installation thermal, sound or vibration insulation in buildings or other construction projects"
F41009,Other construction installation n.e.c.
F42101,"Installation of doors, windows, door and window frames of wood or other materials, fitted kitchens, staircases, shop fittings and furniture"
F42102,"Laying, tiling, hanging or fitting in buildings or other construction projects of various types of materials"
F42103,Interior and exterior painting of buildings
F43123,Painting of civil engineering structures
F43213,"Installation of glass, mirrors"
F43221,Interior completion
F43225,Cleaning of new buildings after construction
F43291,Other building completion and finishing work n.e.c.
F43294,"Construction of foundations, including pile driving"
F43301,Erection of non-self-manufactured steel elements
F43307,Scaffolds and work platform erecting and dismantling
F41001,Bricklaying and stone setting
F41002,Construction of outdoor swimming pools
F42906,"Steam cleaning, sand blasting and similar activities for building exteriors"
F43124,Renting of construction machinery and equipment with operator (e.g. cranes)
F43302,"Other specialized construction activities, n.e.c."
G45101,Wholesale and retail of new motor vehicles 
G45102,Wholesale and retail of used motor vehicles 
G45103,"Sale of industrial, commercial and agriculture vehicles – new "
G45104,"Sale of industrial, commercial and agriculture vehicles – used "
G45105,Sale by commission agents
G45106,Car auctions
G45109,Sale of other motor vehicles n.e.c.
G45201,Maintenance and repair of motor vehicles
G45202,Spraying and painting 
G45203,Washing and polishing (car wash)
G45205,Repair of motor vehicle seats
G45401,Installation of parts and accessories not as part of the manufacturing process
G45402,"Wholesale and retail sale of all kinds of parts, components, supplies, tools and accessories for motor vehicles"
G45403,Wholesale and retail sale of motorcycles
G46100,Wholesale and retail sale of parts and accessories for motorcycles
G46201,Repair and maintenance of motorcycles
G46202,Wholesale on a fee or contract basis
G46203,Wholesale of rubber
G46204,Wholesale of palm oil
G46205,Wholesale of lumber and timber
G46311,Wholesale of flowers and plants
G46312,Wholesale of livestock
G46313,Wholesale of agricultural raw material and live animal n.e.c.
G46314,"Wholesale of meat, poultry and eggs "
G46321,Wholesale of fish and other seafood
G46322,Wholesale of fruits
G46323,Wholesale of vegetables
G46324,"Wholesale of meat, fish, fruits and vegetables n.e.c."
G46326,"Wholesale of rice, other grains, flour and sugars"
G46327,Wholesale of dairy products
G46329,Wholesale of confectionary
G46412,"Wholesale of  biscuits, cakes, breads and other bakery products"
G46413,"Wholesale of coffee, tea, cocoa and other beverages"
G46414,"Wholesale of beer, wine and spirits"
G46416,"Wholesale of tobacco, cigar, cigarettes"
G46417,Wholesale of other foodstuffs
G47611,Wholesale of yarn and fabrics
G47612,"Wholesale of household linen, towels, blankets"
G47620,Wholesale of clothing
G47631,Wholesale of clothing accessories 
G47632,Wholesale of fur articles
G47633,Wholesale of footwear
G47634,Wholesale of haberdashery
G47635,"Wholesale of textiles, clothing n.e.c."
G47640,Wholesale of pharmaceutical and medical goods
G47711,"Wholesale of perfumeries, cosmetics, soap and toiletries"
G47712,Wholesale of bicycles and their parts and accessories
G47713,Wholesale of photographic and optical goods
G47721,Wholesale of leather goods and travel accessories
G47731,"Wholesale of musical instruments, games and toys, sports goods"
G47732,Wholesale of handicrafts and artificial flowers
G47733,Wholesale of cut flowers and plants
G47734,Wholesale of watches and clocks 
G47735,Wholesale of jewellery
G47737,Wholesale of household furniture
G47738,Wholesale of household appliances
G47597,Wholesale of lighting equipment
G47598,"Wholesale of household utensils and cutlery, crockery, glassware, chinaware and pottery"
G47741,"Wholesale of woodenware, wickerwork and cork ware"
G47742,Wholesale of electrical and electronics goods
G47743,"Wholesale of stationery, books, magazines and newspapers"
G47744,Wholesale of other household goods n.e.c.
G47749,"Wholesale of computer hardware, software and peripherals "
G46699,"Wholesale of telephone and telecommunications equipment, cell phones, pagers"
G46901,Wholesale of electrical and electronic component and wiring accessories
G46902,"Wholesale of agricultural machinery, equipment and supplies"
G46909,Wholesale of lawn mowers however operated
G47111,"Wholesale of office machinery and business equipment, except computers and computer peripheral equipment"
G47112,Wholesale of office furniture
G47113,Wholesale of computer-controlled machines tools
G47114,"Wholesale of industrial machinery, equipment and supplies"
G47191,Wholesale of construction and civil engineering machinery and equipment
G47192,"Wholesale of lift escalators, air-conditioning, security and fire fighting equipment"
G47193,"Wholesale of other machinery for use in industry, trade and navigation and other services n.e.c."
G47199,"Wholesale of petrol, diesel, lubricants"
G47211,Wholesale of liquefied petroleum gas
G47213,"Wholesale of other solid, liquid and gaseous fuels and related products n.e.c."
G47214,Wholesale of ferrous and non-ferrous metal ores and metals
G47215,Wholesale of ferrous and non-ferrous semi-finished metal ores and products n.e.c.
G47216,"Wholesale of logs, sawn timber, plywood, veneer and related products"
G47219,Wholesale of paints and varnish
G47221,Wholesale of construction materials
G47222,Wholesale of fittings and fixtures
G47300,Wholesale of hot water heaters
G47411,Wholesale of sanitary installation and equipment
G47412,Wholesale of tools  
G47420,"Wholesale of other construction materials, hardware, plumbing and heating equipment and supplies n.e.c."
G47520,Wholesale of industrial chemicals
G47531,Wholesale of fertilizers and agrochemical products
G47532,Wholesale of plastic materials in primary forms
G47533,Wholesale of rubber scrap
G47591,Wholesale of textile fibres
G47592,"Wholesale of paper in bulk, packaging materials"
G47594,Wholesale of precious stones
G47595,Wholesale of metal and non-metal waste and scrap and materials for recycling
G47596,"Dismantling of automobiles, computer, televisions and other equipment to obtain and re-sell usable parts"
G46419,"Wholesale of aquarium fishes, pet birds and animals"
G46421,Wholesale of animal/pet food
G46422,Wholesale of a variety of goods without any particular specialization n.e.c.
G46431,Provision stores
G46432,Supermarket
G46433,Mini market
G46434,Convenience stores
G46441,Department stores
G46442,Department stores and supermarket
G46443,Hypermarket
G46444,News agent and miscellaneous goods store
G46491,Other retail sale in non-specialized stores n.e.c.
G46492,"Retail sale of rice, flour, other grains and sugars "
G46493,Retail sale of fresh or preserved vegetables and fruits
G46494,Retail sale of dairy products and eggs
G46495,Retail sale of meat and meat products (including poultry) 
G46496,"Retail sale of fish, other seafood and products thereof"
G46497,Retail sale of bakery products and sugar confectionery
G46499,"Retail sale of mee, kuey teow, mee hoon, wantan skins and other food products made from flour or soya"
G46521,Retail sale of other food products n.e.c.
G46522,"Retail sale of beer, wine and spirits"
G46531,"Retail sale of tea, coffee, soft drinks, mineral water and other beverages"
G46532,Retail sale of tobacco products in specialized store 
G46592,Retail sale of automotive fuel in specialized store
G46593,"Retail sale of computers, computer equipment and supplies"
G46594,Retail sale of video game consoles and non-customized software 
G46595,Retail sale of telecommunication equipment
G46599,Retail sale of audio and video equipment in specialized store
G46611,Retail sale of textiles in specialized stores
G46612,"Retail sale of construction materials, hardware, paints and glass"
G46621,Retail sale of carpets and rugs
G46622,Retail sale of curtains and net curtains
G46631,Retail sale of wallpaper and floor coverings
G46632,Retail sale of household furniture
G46634,Retail sale of articles for lighting
G46635,"Retail sale of household utensils and cutlery, crockery, glassware, chinaware and pottery"
G46636,"Retail sale of wood, cork goods and wickerwork goods"
G46637,Retail sale of household appliances
G46691,Retail sale of musical instruments and scores
G46692,Retail sale of security systems
G46693,Retail sale of household articles and equipment n.e.c.
G46694,Retail sale of office supplies and equipment
G46695,"Retail sale of books, newspapers and stationary "
G46696,"Retail sale of musical records, audio tapes, compact discs , cassettes, video tapes, VCDs and DVDs, blank tapes and discs"
G46697,Retail sale of sports goods and equipments
G46698,Retail sale of fishing equipment 
G47820,Retail sale of camping goods
G47891,Retail sale of boats and equipments
G47892,Retail sale of bicycles and related parts and accessories
G47893,"Retail sale of games and toys, made of all materials"
G47895,"Retail sale of articles of clothing, articles of fur and clothing accessories"
G47911,Retail sale of footwear
G47912,"Retail sale of leather goods, accessories of leather and leather substitutes"
G47914,"Stores specialized in retail sale of pharmaceuticals, medical and orthopaedic goods"
G47991,"Stores specialized in retail sale of perfumery, cosmetic and toilet articles"
G47999,Retail sale of photographic and precision equipment  
G45300,Retail sale of watches and clocks 
G46209,Retail sale of jewellery
G46319,"Retail sale of flowers, plants, seeds, fertilizers"
G46325,"Retail sale of souvenirs, craftwork and religious articles"
G46411,"Retail sale of household fuel oil, cooking gas, coal and fuel wood"
G46415,Retail sale of spectacles and other optical goods
G46510,"Retail sale of aquarium fishes, pet animals and pet food"
G46591,Other retail sale of new goods in specialized stores n.e.c.
G46633,Retail sale of second-hand books
G46639,Retail sale of second-hand electrical and electronic goods
G47194,Retail sale of antiques
G47212,Activities of auctioning houses (retail)
G47217,Retail sale of second-hand goods n.e.c.
G47230,"Retail sale of food, beverages and tobacco products via stalls or markets "
G47413,"Retail sale of textiles, clothing and footwear via stalls or markets"
G47510,Retail sale of carpets and rugs via stalls or markets
G47593,Retail sale of books via stalls or markets
G47722,Retail sale of games and toys via stalls or markets
G47736,Retail sale of household appliances and consumer electronics via stall or markets
G47739,Retail sale of music and video recordings via stall or markets
G47810,Retail sale of any kind of product by mail order
G47894,Retail sale of any kind of product over the Internet
G47913,"Direct sale via television, radio and telephone"
G47992,Internet retail auctions
G46596,Retail sale of any kind of product by direct sales or door-to-door sales persons
G46619,Retail sale of any kind of product through vending machines
G45204,"Other retail sale not in stores, stalls or markets n.e.c."
H49212,Passenger transport by inter-urban railways 
H49221,"Freight transport by inter-urban, suburban and urban railways"
H49222,City bus services
H49223,Urban and suburban railway passenger transport service
H49224,Express bus services 
H49225,Employees bus services
H49229,School bus services
H49230,Taxi operation and limousine services
H49300,Rental of cars with driver
H50111,Other passenger land transport n.e.c.
H50112,Freight transport by road
H50113,Transport via pipeline
H50121,"Operation of excursion, cruise or sightseeing boats"
H50122,"Operation of ferries, water taxis"
H50211,Rental of pleasure boats with crew for sea and coastal water transport (e.g. for fishing cruises)
H50212,"Transport of freight over seas and coastal waters, whether scheduled or not"
H50220,"Transport by towing or pushing of barges, oil rigs"
H51101,"Transport of passenger via rivers, canals, lakes and other inland waterways, including inside harbours and ports"
H51103,Rental of pleasure boats with crew for inland water transport
H51201,"Transport of freight via rivers, canals, lakes and other inland waterways, including inside harbours and ports"
H51203,Transport of passengers by air over regular routes and on regular schedules
H52100,Non-scheduled transport of passenger by air
H52211,Renting of air-transport equipment with operator for the purpose of passenger transportation
H52213,Transport freight by air over regular routes and on regular schedules
H52214,Non-scheduled transport of freight by air
H52219,Renting of air-transport equipment with operator for the purpose of freight transportation
H52222,Warehousing and storage services
H52229,Operation of terminal facilities
H52231,Towing and road side assistance
H49211,Operation of parking facilities for motor vehicles (parking lots)
H52233,"Highway, bridge and tunnel operation services"
H52234,Other service activities incidental to land transportation n.e.c.
H52241,"Port, harbours and piers operation services"
H52249,Vessel salvage and refloating services
H52291,Other service activities incidental to water transportation n.e.c.
H49110,Operation of terminal facilities
H53100,Airport and air-traffic-control activities
H53200,Ground service activities on airfields
H52292,Fire fighting and fire-prevention services at airports
H52299,Other service activities incidental to air transportation n.e.c.
H49120,Stevedoring services
H51102,Other cargo handling activities n.e.c.
H51202,Forwarding of freight 
H52212,Brokerage for ship and aircraft space
H52221,Other transportation support activities n.e.c.
H52232,National postal services
H52239,Courier activities other than national post activities
I55101,Hotels and resort hotels
I55102,Motels
I55103,Apartment hotels
I55104,Chalets
I55105,Rest house/guest house
I55106,Bed and breakfast units
I55107,Hostels
I55108,Home stay
I55109,Other short term accommodation activities n.e.c.
I55200,Camping grounds/sites and recreational vehicle parks
I55900,Other accommodation
I56101,Restaurants and restaurant cum night clubs
I56102,Cafeterias/canteens
I56103,Fast-food restaurants
I56104,Ice cream truck vendors and parlours
I56105,Mobile food carts
I56106,Food stalls/hawkers
I56107,"Food or beverage, food and beverage preparation in market stalls/hawkers"
I56210,Event/food caterers
I56290,Other food service activities
I56301,"Pubs, bars, discotheques, coffee houses, cocktail lounges and karaoke "
I56302,Coffee shops
I56303,Drink stalls/hawkers
I56304,Mobile beverage
I56309,Others drinking places n.e.c.
J60200,"Publishing of books, brochures and other publications"
J61101,"Publishing of mailing lists, telephone book, other directories"
J61102,"Publishing of newspapers, journals, magazines and periodicals in print or electronic form"
J61201,"Publishing of catalogues, photos, engraving and postcards, greeting cards, forms, posters, reproduction of works of art, advertising material and other printed matter n.e.c."
J61202,Business and other applications
J61300,Computer games for all platforms
J61901,Operating systems
J61902,"Motion picture, video and television programme production activities"
J61903,"Motion picture, video and television programme post-production activities"
J61905,"Motion picture, video and television programme distribution activities"
J61909,Motion picture projection activities
J62010,Sound recording and music publishing activities
J62021,Radio broadcasting
J62022,Television programming and broadcasting activities
J58110,Wired telecommunications services 
J58120,Internet access providers by the operator of the wired infrastructure
J58130,Wireless telecommunications services 
J58190,Internet access providers by the operator of the wireless infrastructure
J58201,Satellite telecommunications services
J58202,Provision of Internet access over networks between the client and the ISP not owned or controlled by the ISP
J58203,Provision of telecommunications services over existing telecom connection
J59110,Telecommunications resellers 
J59120,Provision of telecommunications services over existing telecom connections VOIP (Voice Over Internet Protocol) provision
J59130,"Provision of specialized telecommunications applications (e.g. satellite tracking, communications telemetry and radar station operations)"
J59140,Other telecommunications activities n.e.c.
J59200,Computer programming activities
J60100,Computer consultancy
J61904,Computer facilities management activities
J62091,Information Communication Technology (ICT) system security
J62099,Other information technology service activities n.e.c.
J63111,"Activities of providing infrastructure for hosting, data processing services and related activities"
J63112,Data processing activities
J63120,Web portals
J63910,"News syndicate and news agency activities furnishing news, pictures and features to the media (e.g. Bernama)"
J63990,Other information service activities n.e.c.
K64110,Central banking
K64191,Commercial Banks
K64192,Islamic Banks 
K64193,Offshore Banks
K64194,Investment Banks
K64195,Development financial institutions (with deposits taking functions)
K64199,Other monetary intermediation (with deposits taking functions) n.e.c.
K64200,Activities of holding companies
K64923,Venture capital companies
K64991,Unit trust fund excludes REITs
K64999,Property unit trust (REITs)
K66302,Other administration of trusts accounts
K64301,"Trusts, funds and similar financial entities n.e.c."
K64302,Financial leasing activities
K64303,Development financial institutions (without deposits taking functions)
K64304,Credit card services
K64309,Licensed money lending activities
K64910,Pawnshops and pawnbrokers includes Ar-Rahnu
K64921,Co-operative with credits functions
K64922,Other credit granting n.e.c.
K64924,Factoring companies
K64925,Representative office of foreign banks
K64929,Nominee companies
K64992,"Other financial service activities, except insurance/takaful and pension funding n.e.c."
K64993,Life insurance
K65111,Family takaful
K65112,General insurance
K65121,General takaful
K65122,Composite insurance
K65123,Offshore insurance 
K65124,Offshore takaful
K65125,Life reinsurance
K65201,Family retakaful
K65202,General reinsurance
K65203,General retakaful
K65204,Composite retakaful
K65205,Offshore reinsurance
K65206,Offshore retakaful
K65207,Pension funding
K65301,Provident funding
K65302,Stock exchanges
K66111,Exchanges for commodity contracts 
K66112,Securities exchange
K66113,Exchanges for commodity futures contracts
K66114,Administration of financial markets n.e.c.
K66119,"Stock, share and bond brokers"
K66121,Commodity brokers and dealers
K66122,Gold bullion dealers
K66123,Foreign exchange broker and dealers (Bureaux de change)
K66124,Money-changing services
K66125,Other financial and commodity futures brokers and dealers
K66129,Investment advisory services
K66191,Financial consultancy services
K66192,Activities auxiliary to finance n.e.c.
K66199,Insurance adjusting service
K66211,Takaful adjusting service 
K66212,Insurance agents 
K66221,Takaful agents
K66222,Insurance brokers
K66223,Takaful brokers
K66224,"Other activities auxiliary to insurance, takaful and pension funding"
K66290,Management of pension funds
K66301,Assets/portfolio management
K66303,Unit trust management companies
L68101,"Buying, selling, renting and operating of self-owned or leased real estate – residential buildings"
L68104,"Buying, selling, renting and operating of self-owned or leased real estate – non-residential buildings"
L68102,"Buying, selling, renting and operating of self-owned or leased real estate – land"
L68103,"Development of building projects for own operation, i.e. for renting of space in these buildings"
L68109,Real estate activities with own or leased property n.e.c.
L68201,"Activities of real estate agents and brokers for buying, selling and renting of real estate"
L68202,Management of real estate on a fee or contract basis
L68203,Appraisal services for real estate
L68209,Real estate activities on a fee or contract basis n.e.c.
M69100,Legal activities
M69200,"Accounting, bookkeeping and auditing activities; tax consultancy"
M70100,Activities of head offices 
M70201,Business management consultancy services 
M70202,Human resource consultancy services
M70203,Consultancy services in public relation and communications
M70209,Other management consultancy activities n.e.c
M71101,Architectural services
M71102,Engineering services
M71103,Land surveying services
M71109,Other architectural and engineering activities and related technical consultancy n.e.c.
M71200,Technical testing and analysis
M72101,Research and development on natural sciences
M72102,Research and development on engineering and technology 
M72103,Research and development on medical sciences
M72104,Research and development on biotechnology
M72105,Research and development on agricultural sciences
M72106,Research and development on Information Communication Technology (ICT)
M72109,Research and development on other natural science and engineering n.e.c.
M72201,Research and development on social sciences
M72202,Research and development on humanities
M72209,Research and development of other social sciences and humanities n.e.c.
M73100,Advertising
M73200,Market research and public opinion polling
M74101,Activities of interior decorators
M74102,Services of graphic designers
M74103,Fashion design services
M74109,Specialized design activities n.e.c.
M74200,Photographic activities
M74901,Translation and interpretation activities
M74902,Business brokerage activities
M74903,Security consulting
M74904,Activities of quantity surveyors
M74905,"Activities of consultants other than architecture, engineering and management consultants"
M74909,"Any other professional, scientific and technical activities n.e.c."
M75000,Veterinary activities
N82110,Renting and operational leasing of passenger cars (without driver)
N82191,"Renting and operational leasing of trucks, utility trailers and recreational vehicles "
N82192,"Renting and leasing of pleasure boats, canoes, sailboats"
N82193,Renting and leasing of bicycles
N82194,Renting and leasing of beach chairs and umbrellas
N82195,Renting and leasing of other sports equipment n.e.c.
N81300,"Renting of video tapes, records, CDs, DVDs"
N82196,"Renting and leasing of textiles, wearing apparel and footwear"
N82199,"Renting and leasing of furniture, pottery and glass, kitchen and tableware, electrical appliances and house wares"
N82200,"Renting and leasing of jewellery, musical instruments, scenery and costumes"
N82301,"Renting and leasing of books, journals and magazines"
N82302,Renting and leasing of machinery and equipment used by amateurs or as a hobby
N82910,Renting of flowers and plants
N82920,Renting and leasing of electronic equipment for household use
N82990,Renting and leasing of other personal and household goods n.e.c.
N77293,"Renting and operational leasing, without operator, of other machinery and equipment that are generally used as capital goods by industries"
N77297,Renting and operational leasing of land-transport equipment (other than motor vehicles) without drivers
N77301,Renting and operational leasing of water-transport equipment without operator
N78200,Renting and operational leasing of air transport equipment without operator
N78300,Renting and operational leasing of agricultural and forestry machinery and equipment without operator
N79110,Renting and operational leasing of construction and civil-engineering machinery and equipment without operator
N79120,Rental and operational leasing of office machinery and equipment without operator
N79900,"Renting and leasing of other machinery, equipment and tangible goods n.e.c."
N80100,"Leasing of intellectual property and similar products, except copyrighted works"
N80200,Activities of employment placement agencies
N80300,Temporary employment agency activities
N81100,Provision of human resources for client businesses
N81210,Travel agency activities
N81291,Tour operator activities
N81292,Other reservation service and related activities
N81293,Private security activities
N81294,Security systems service activities
N81295,Investigation and detective activities
N81296,Combined facilities support activities
N81297,General cleaning of buildings
N81299,Cleaning of buildings of all types
N77309,Swimming pool cleaning and maintenance services
N77101,Cleaning of industrial machinery
N77102,"Cleaning of trains, buses, planes"
N77211,Cleaning of pest control services not in connection with agriculture  
N77212,Disinfecting and exterminating activities
N77213,Cleaning of sea tankers
N77219,"Other building and industrial cleaning activities, n.e.c."
N77220,Landscape care and maintenance service activities
N77291,Combined office administrative service activities
N77292,"Document preparation, editing and/or proofreading"
N77294,"Typing, word processing or desktop publishing"
N77295,Secretarial support services
N77296,Transcription of documents and other secretarial services
N77299,Provision of mailbox rental and other postal and mailing services
N77302,"Photocopying, duplicating, blueprinting"
N77303,"Photocopying, document preparation and other specialized office support activities n.e.c. "
N77304,Activities of call centres
N77305,"Organization, promotions and/or management of event"
N77306,"Meeting, incentive, convention, exhibition (MICE)"
N77307,Activities of collection agencies and credit bureaus
N77400,"Packaging activities on a fee or contract basis, whether or not these involve an automated process"
N78100,Other business support service activities n.e.c.
O84111,General (overall) public administration activities
O84121,Ancillary service activities for the government as a whole
O84122,Administrative educational services
O84123,Administrative health care services
O84125,Administrative housing and local government services
O84126,"Administrative recreational, cultural, arts and sports services"
O84129,Administrative religious affairs services
O84131,Administrative welfare services
O84133,Other community and social affairs services
O84134,Domestic and international trade affairs
O84135,Agriculture and rural development affairs
O84136,Primary industries affairs
O84138,Public works affairs
O84139,Transport affairs
O84231,"Energy, telecommunication and postal affairs"
O84232,Tourism affairs
O84233,Human resource affairs
O84234,Other regulation of and contribution to more efficient operation of businesses n.e.c.
O84235,Foreign affairs
O84236,Military and civil defence services
O84220,Police service
O84239,Prison service
O84300,Immigration service
O84112,National registration service
O84124,Judiciary and legal service
O84132,Firefighting and fire prevention
O84137,Other public order and safety affairs related services
O84210,Compulsory social security activities e.g. SOCSO
P85101,Pre-primary education (Public)
P85102,Pre-primary education (Private)
P85103,Primary education (Public)
P85104,Primary education (Private)
P85211,General school secondary education (Public)
P85212,General school secondary education (Private)
P85221,Technical and vocational education below the level of higher education (Public)
P85222,Technical and vocational education below the level of higher education (Private)
P85301,College and university education (Public)
P85302,College and university education (Private)
P85411,Sports instruction
P85412,Martial arts instruction
P85421,Any other sports and recreation education n.e.c
P85429,Music and dancing school
P85491,Any other cultural education n.e.c.
P85492,Tuition centre
P85493,Driving school
P85499,Religious instruction
P85419,Computer training
P85494,Others education n.e.c
P85500,Educational support services for provision of non-instructional services
Q86101,Hospital activities 
Q86102,Maternity home services (outside hospital)  
Q86201,General medical services
Q86202,Specialized medical services
Q86203,Dental Services
Q86901,Dialysis Centres
Q86902,Medical laboratories
Q86903,Physiotherapy and occupational therapy service 
Q86904,Acupuncture services
Q87201,Herbalist and homeopathy services
Q87209,Ambulance services
Q87300,Other human health services n.e.c.
Q87901,Homes for the elderly with nursing care
Q87902,Nursing homes
Q87909,Palliative or hospices
Q88101,Drug rehabilitation centres
Q88109,Others residential care activities for mental retardation n.e.c.
Q88901,Residential care activities for the elderly and disabled
Q88902,Orphanages
Q86905,Welfare homes services
Q86906,Other residential care activities n.e.c.
Q86909,Day-care activities for the elderly or for handicapped adults
Q87101,Others social work activities without accommodation for the elderly and disabled
Q87102,Counselling service
Q87103,Child day-care activities
Q88909,Other social work activities without accommodation n.e.c.
R93193,"Theatrical producer, singer group band and orchestra entertainment services"
R93199,Operation of concert and theatre halls and other arts facilities
