MSIC_5D,DESCRIPTION
C14102,Pembuatan kelengkapan kawalan proses perindustrian
C14103,Pembuatan jam tangan dan jam dan bahagiannya
C14109,"Pembuatan peralatan penyinaran, perubatan elektro dan elektroterapeutik"
C14200,Pembuatan instrumen dan kelengkapan optikal
C14300,Pembuatan peralatan fotografi
C15110,Pembuatan media rakaman magnetik dan optikal
C15120,"Pembuatan motor elektrik, penjana dan transformer"
C15201,Pembuatan perkakasan pengagihan dan pengawalan elektrik
C15202,Pembuatan bateri dan akumulator
C15203,Pembuatan kabel gentian optikal
C15209,Pembuatan wayar dan kabel elektronik dan elektrik lain
C16100,Pembuatan alatan pendawaian pembawa dan bukan pembawa arus untuk litar elektrik (tanpa mengira jenis bahan)
C16211,Pembuatan kelengkapan pencahayaan elektrik
C16212,Pembuatan perkakasan domestik
C10619,"Pembuatan pelbagai kelengkapan elektrik selain daripada motor, penjana dan transformer, bateri dan akumulator, wayar dan alatan pendawaian, kelengkapan pencahayaan atau perkakasan domestik"
C10621,"Pembuatan enjin dan turbin, kecuali enjin pesawat, kenderaan dan sikal "
C10622,Pembuatan alat-alat kuasa bendalir
C10711,"Pembuatan pam, pemampat, kepala paip dan injap lain"
C10712,"Pembuatan penggalas, gear, elemen gear dan pemanduan"
C10713,"Pembuatan ketuhar, relau dan relau pembakar"
C10714,Pembuatan kelengkapan mengangkat dan mengendali
C10721,Pembuatan mesin dan kelengkapan pejabat (kecuali kelengkapan komputer dan peranti)
C10731,Pembuatan alatan tangan yang menggunakan kuasa dilengkapkan dengan motor elektrik atau bukan motor elektrik atau pneumatik
C10732,Pembuatan kelengkapan penyejukan atau pembekuan perindustrian
C10733,"Pembuatan mesin penyaman udara, termasuk untuk kenderaan bermotor"
C10741,Pengeluaran mesin tujuan umum lain t.t.t.l
C10405,Pembuatan mesin bagi pertanian dan perhutanan
C10502,Pembuatan jentera pembentukan logam dan alatan mesin
C10623,Pengeluaran bagi jentera untuk metalurgi
C20291,"Pembuatan mesin untuk perlombongan, pengkuarian dan pembinaan"
C21002,"Pembuatan mesin untuk makanan, minuman dan pemprosesan tembakau"
C21005,"Pembuatan mesin untuk tekstil, pakaian dan pengeluaran kulit"
C23109,Pembuatan lain-lain mesin bertujuan khas t.t.t.l.
C23930,Pembuatan kereta penumpang
C25130,Pembuatan kenderaan komersial
C25992,Pembuatan kerangka (coachwork) untuk kenderaan bermotor; pembuatan treler dan semi treler
C10722,Pembuatan alat ganti dan aksesori untuk kenderaan bermotor
C17092,Pembinaan kapal dan struktur terapung
C20222,Pembinaan bot persiaran dan sukan
C10102,Pembuatan keretapi lokomotif dan rolling stock
C10103,Pembuatan pesawat dan kapal angkasa dan jentera berkaitan
C10104,Pembuatan kenderaan tempur ketenteraan
C10109,Pembuatan motosikal
C10201,Pembuatan basikal dan invalid carriages
C10202,Pembuatan kelengkapan pengangkutan lain t.t.t.l.
C10203,Pembuatan perabot kayu dan rotan
C10204,Pembuatan perabot logam
C10205,Pembuatan tilam
C10301,"Pembuatan perabot lain kecuali daripada batu, konkrit atau seramik"
C10101,Pembuatan barang kemas dan artikel berkaitan 
C10302,Pembuatan barang kemas tiruan dan artikel berkaitan
C10303,Pembuatan instrumen muzik
C10304,Pembuatan barangan sukan
C10305,Pembuatan permainan dan mainan 
C10306,Pembuatan peralatan dan bekalan perubatan dan pergigian 
C10401,Pembuatan alat tulis
C10402,Pembuatan lain t.t.t.l
C10403,Pembaikan produk logam yang direka
C10404,Pembaikan dan penyelenggaraan jentera dan kelengkapan industri
C10406,"Pembaikan dan penyelenggaraan peralatan menyukat, menguji, memandu arah dan kelengkapan kawalan"
